date,sujet,nom,scenario,vrai_oui_pct,erreur_max_pts,hors_cadre,avance_err_1pt,avance_err_0_5pt,erreur_a_10pct,erreur_a_25pct,erreur_a_50pct,biais_a_10pct,biais_a_25pct,biais_a_50pct,avance_levier_sous_seuil,nb_communes,nb_objets_acp
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_bas,45.804,29.175,115,0.626,0.6875,9.002,5.098,1.974,-9.002,-5.098,-1.974,0.0243,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_bas_mediane,45.804,29.175,115,0.626,0.6875,9.002,5.098,1.974,-9.002,-5.098,-1.974,0.0243,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_bas_depouillement,45.804,29.774,170,0.9693,1.0,16.316,12.547,8.478,-16.316,-12.547,-8.478,0.0243,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_haut,45.804,29.639,136,0.755,0.9106,11.485,5.425,2.577,11.485,5.425,2.577,0.0822,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_haut_mediane,45.804,29.639,136,0.755,0.9106,11.485,5.425,2.577,11.485,5.425,2.577,0.0822,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,adversarial_haut_depouillement,45.804,24.064,172,0.9693,1.0,17.657,13.825,8.479,17.657,13.825,8.479,0.0822,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_bas,45.804,38.227,21,0.1273,0.8554,1.564,0.032,0.147,1.564,-0.032,0.147,0.0148,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_bas_mediane,45.804,38.227,21,0.1273,0.8554,1.564,0.032,0.147,1.564,-0.032,0.147,0.0148,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_bas_depouillement,45.804,22.524,159,0.9395,0.9693,12.242,10.505,7.283,-12.242,-10.505,-7.283,0.0148,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_haut,45.804,24.268,2,0.5031,0.6458,4.244,1.651,1.014,4.244,1.651,1.014,0.1023,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_haut_mediane,45.804,24.268,2,0.5031,0.6458,4.244,1.651,1.014,4.244,1.651,1.014,0.1023,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,profil_haut_depouillement,45.804,21.57,102,0.9395,0.9693,13.194,11.587,7.289,13.194,11.587,7.289,0.1023,2115,21
2016-11-27,6080,Initiative populaire «Pour la sortie programmée de l'énergie nucléaire,realiste,45.804,2.056,0,0.0875,0.3052,0.91,0.543,0.313,0.91,0.543,0.313,0.0037,2115,21
