HistoricalCode,BfsCode,Name,CantonId,Canton,DistrictId,District,FUA2014,DEGURB2021,FUA2021,GCITIES2021,STREG2022,DEGURB2011,GCITIES2011,REGCH,AGKG2020,STADTE2020,STGD2020,RSC2020,SPRGEB2020,AGKSA2020,AGGL2020,AGGLGK2020,MONT2019,STALAN2020,GDETYP2020_9,GDETYP2020_25,GBAE2018,BAE2018
10078,6158,Vionnaz,23,Valais / Wallis,10013,District de Monthey,0,3,5586960,0,11,3,0,1,0,0,0,5,2,0,0,0,1,2,22,226,2,2040
10157,3023,Speicher,15,Appenzell Ausserrhoden,10098,Bezirk Mittelland,3203960,2,3203960,0,2,2,0,5,3203810,0,0,4,1,3203910,3203,3,1,2,21,217,15,15050
10159,6011,Zwischbergen,23,Valais / Wallis,10035,Bezirk Brig,0,3,0,0,11,3,0,1,0,0,0,0,1,0,0,0,1,3,33,338,7,7090
10162,2228,Villars-sur-Glâne,10,Fribourg / Freiburg,10104,District de la Sarine,0,1,2196960,2196950,13,2,0,2,2196801,1,2228,2,2,2196910,2196,4,0,1,12,122,4,4030
10165,2230,Villarsel-sur-Marly,10,Fribourg / Freiburg,10104,District de la Sarine,0,3,2196960,0,13,3,0,2,2196810,0,0,4,2,2196910,2196,4,0,3,23,235,4,4030
10242,181,Wila,1,Zürich,10076,Bezirk Pfäffikon,261960,2,261960,0,3,3,0,4,0,0,0,5,1,0,0,0,0,2,22,226,12,12040
10268,71,Wil (ZH),1,Zürich,10081,Bezirk Bülach,261960,3,261960,0,3,3,0,4,261810,0,0,4,1,261910,261,1,0,3,23,236,12,12032
10275,4045,Wettingen,19,Aargau,10025,Bezirk Baden,261960,2,261960,0,14,2,0,3,4021801,1,4045,2,1,4021910,4021,3,0,1,12,123,12,12010
10277,121,Wetzikon (ZH),1,Zürich,10079,Bezirk Hinwil,261960,2,261960,0,3,2,0,4,261801,1,121,3,1,261910,261,1,0,1,11,112,12,12037
10278,4081,Widen,19,Aargau,10024,Bezirk Bremgarten,261960,2,261960,0,14,2,0,3,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12031
10301,4147,Zetzwil,19,Aargau,10022,Bezirk Kulm,0,2,0,0,14,2,0,3,0,0,0,0,1,0,0,0,0,3,32,327,10,10020
10303,4048,Würenlos,19,Aargau,10025,Bezirk Baden,261960,2,261960,0,14,2,0,3,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12010
10309,4183,Zeihen,19,Aargau,10021,Bezirk Laufenburg,0,3,0,0,14,3,0,3,0,0,0,5,1,0,0,0,0,3,23,237,8,8015
10310,4263,Zeiningen,19,Aargau,10018,Bezirk Rheinfelden,2701960,2,2701960,0,14,2,0,3,2701810,0,0,4,1,2701910,2701,1,0,2,22,227,8,8015
10312,231,Zell (ZH),1,Zürich,10074,Bezirk Winterthur,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,22,226,12,12040
10314,1323,Wollerau,5,Schwyz,10058,Bezirk Höfe,261960,2,261960,0,3,2,0,6,261801,0,0,3,1,261910,261,1,0,1,11,112,12,12034
10315,6300,Zermatt,23,Valais / Wallis,10180,Bezirk Visp,0,2,0,0,11,2,0,1,0,1,6300,6,1,0,96300,0,1,1,13,134,7,7070
10322,4083,Zufikon,19,Aargau,10024,Bezirk Bremgarten,261960,2,261960,0,14,2,0,3,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12031
10323,1711,Zug,9,Zug,10108,Kanton Zug,1711960,1,1711960,1711950,3,1,1711950,6,1711801,1,1711,1,1,1711901,1711,3,1,1,12,121,11,11060
10324,2622,Zullwil,11,Solothurn,10094,Bezirk Thierstein,2701960,3,2701960,0,14,3,0,2,2701810,0,0,4,1,2701910,2701,1,0,2,22,226,8,8011
10326,160,Zumikon,1,Zürich,10077,Bezirk Meilen,261960,2,261960,0,3,2,0,4,261801,0,0,2,1,261910,261,1,0,1,11,113,12,12035
10329,4264,Zuzgen,19,Aargau,10018,Bezirk Rheinfelden,2701960,3,2701960,0,14,3,0,3,2701810,0,0,4,1,2701910,2701,1,0,3,23,237,8,8015
10330,6299,Zeneggen,23,Valais / Wallis,10180,Bezirk Visp,0,3,0,0,11,3,0,1,6002810,0,0,4,1,6002910,6002,5,1,3,23,235,7,7080
10331,72,Winkel,1,Zürich,10081,Bezirk Bülach,261960,2,261960,0,3,2,0,4,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12032
10334,182,Wildberg,1,Zürich,10076,Bezirk Pfäffikon,261960,3,261960,0,3,3,0,4,261810,0,0,4,1,261910,261,1,0,3,23,236,12,12040
10337,6202,Wiler (Lötschen),23,Valais / Wallis,10125,Bezirk Raron,0,3,0,0,11,3,0,1,0,0,0,0,1,0,0,0,1,3,33,338,7,7060
10338,4288,Wiliberg,19,Aargau,10017,Bezirk Zofingen,0,3,0,0,14,3,0,3,0,0,0,5,1,0,0,0,0,3,23,237,10,10020
10344,4047,Würenlingen,19,Aargau,10025,Bezirk Baden,0,2,0,0,14,2,0,3,0,0,0,5,1,0,0,0,0,2,21,216,12,12010
10347,230,Winterthur,1,Zürich,10074,Bezirk Winterthur,261960,1,261960,230950,3,1,230950,4,230801,1,230,1,1,230901,230,3,0,1,12,121,12,12040
10348,2501,Winznau,11,Solothurn,10084,Bezirk Gösgen,0,2,0,0,14,2,0,2,2581801,0,0,2,1,2581910,2581,3,0,1,12,123,10,10020
10349,2502,Wisen (SO),11,Solothurn,10084,Bezirk Gösgen,0,3,0,0,14,3,0,2,0,0,0,5,1,0,0,0,1,3,23,237,10,10020
10352,2481,Witterswil,11,Solothurn,10099,Bezirk Dorneck,2701960,2,2701960,0,14,2,0,2,2701810,0,0,4,1,2701910,2701,1,0,2,22,227,8,8012
