sujet_id|titre|etiquette|theme|enjeu
5890|Initiative sur l'or|Or de la BNS|Économie et monnaie|Obliger la BNS à détenir au moins 20 % de ses actifs en or, à ne plus jamais en vendre et à stocker tout son or en Suisse. Lancée par des élus UDC : le parti national a dit non, vingt sections cantonales oui.
5880|Ecopop (« Halte à la surpopulation »)|Ecopop|Immigration et souveraineté|Limiter à 0,2 % par an la croissance de la population due à l'immigration et consacrer 10 % de l'aide au développement au planning familial. Initiative d'une association écologiste, combattue par tous les partis.
5870|Abolition des forfaits fiscaux|Forfaits fiscaux|Fiscalité et finances|Supprimer l'imposition d'après la dépense, qui permet aux riches étrangers sans activité en Suisse d'être taxés sur leur train de vie plutôt que sur leur revenu. Initiative de la gauche alternative, du PS et des syndicats.
5910|Remplacer la TVA par une taxe sur l'énergie|Taxe sur l'énergie|Environnement, énergie, nature|Remplacer la TVA par une taxe sur les énergies non renouvelables, de rendement équivalent. Initiative des Vert'libéraux, la plus lourdement rejetée de la période.
5900|Allocations familiales exonérées d'impôt|Allocations exonérées|Fiscalité et finances|Exonérer d'impôt les allocations pour enfants et de formation. Initiative du PDC, soutenue par l'UDC.
5950|Loi sur la radio et la télévision (LRTV)|Redevance LRTV|Médias et culture|Remplacer la redevance liée à la possession d'un appareil par une redevance générale due par tous les ménages et les grandes entreprises. Référendum de l'Union suisse des arts et métiers.
5940|Impôt fédéral sur les successions|Impôt sur les successions|Fiscalité et finances|Introduire un impôt fédéral de 20 % sur les successions de plus de 2 millions, dont les deux tiers iraient à l'AVS. Initiative du PS, des Verts, du PEV et des syndicats.
5930|Bourses d'études|Bourses d'études|Société, famille, formation|Confier à la Confédération la législation sur les bourses d'études et garantir aux étudiants du tertiaire un niveau de vie minimal. Initiative de l'Union des étudiants de Suisse.
5920|Diagnostic préimplantatoire (article constitutionnel)|DPI (Constitution)|Société, famille, formation|Modifier la Constitution pour permettre de développer hors du corps de la femme autant d'embryons que nécessaire, ce qui ouvre la voie au diagnostic préimplantatoire. Seule l'UDC s'y opposait parmi les grands partis.
5990|Deuxième tube routier du Gothard|2e tube du Gothard|Transports, territoire, logement|Percer un second tube routier au Gothard avant d'assainir le premier, sans augmenter la capacité. Référendum de la gauche et de l'Initiative des Alpes au nom de la protection des Alpes.
5980|Pas de spéculation sur les denrées alimentaires|Spéculation alimentaire|Économie et monnaie|Interdire aux banques et aux négociants de spéculer sur les matières premières agricoles. Initiative de la Jeunesse socialiste.
5970|Initiative de mise en œuvre (renvoi)|Renvoi (mise en œuvre)|Immigration et souveraineté|Inscrire dans la Constitution une liste d'infractions entraînant automatiquement l'expulsion des étrangers, sans marge d'appréciation pour les juges. Initiative de l'UDC, battue après une mobilisation inédite de la société civile.
5960|Contre la pénalisation du mariage|Pénalisation du mariage|Fiscalité et finances|Supprimer la pénalisation fiscale des couples mariés, en définissant au passage le mariage comme l'union d'un homme et d'une femme. Initiative du PDC ; le Tribunal fédéral annulera le vote en 2019 pour information erronée des autorités.
6040|Loi sur l'asile (procédures accélérées)|Loi sur l'asile|Immigration et souveraineté|Accélérer les procédures d'asile dans des centres fédéraux, en donnant aux requérants une assistance juridique gratuite. Référendum de l'UDC.
6030|Loi sur la procréation médicalement assistée|DPI (loi)|Société, famille, formation|Autoriser le diagnostic préimplantatoire pour les couples porteurs d'une maladie héréditaire grave ou stériles. Référendum de milieux conservateurs, évangéliques et d'organisations de personnes handicapées.
6020|Financement équitable des transports (« vache à lait »)|« Vache à lait »|Transports, territoire, logement|Affecter à la route tout le produit de l'impôt sur les huiles minérales, au lieu de la moitié. Initiative des importateurs d'automobiles et des associations routières.
6010|Revenu de base inconditionnel|Revenu de base|État social et retraites|Garantir à chacun un revenu permettant une existence digne, sans condition. Initiative d'un comité citoyen, soutenue par les seuls Verts.
6000|En faveur du service public|Service public|Économie et monnaie|Interdire à La Poste, aux CFF et à Swisscom de viser le profit, et plafonner les salaires de leurs cadres. Initiative de magazines de consommateurs, combattue par tous les partis.
